10000,std::sort,1
10000,mergeSort,1
10000,quickSort,0
10000,selectionSort,100
20000,std::sort,2
20000,mergeSort,2
20000,quickSort,2
20000,selectionSort,387
30000,std::sort,3
30000,mergeSort,3
30000,quickSort,3
30000,selectionSort,878
40000,std::sort,4
40000,mergeSort,4
40000,quickSort,4
40000,selectionSort,1763
50000,std::sort,7
50000,mergeSort,8
50000,quickSort,6
50000,selectionSort,3031
60000,std::sort,7
60000,mergeSort,10
60000,quickSort,8
60000,selectionSort,4193
70000,std::sort,10
70000,mergeSort,10
70000,quickSort,9
70000,selectionSort,5670
80000,std::sort,10
80000,mergeSort,13
80000,quickSort,9
80000,selectionSort,7207
90000,std::sort,14
90000,mergeSort,13
90000,quickSort,11
90000,selectionSort,9189
100000,std::sort,13
100000,mergeSort,16
100000,quickSort,12
100000,selectionSort,11297
