10000,std::sort,1
10000,mergeSort,1
10000,quickSort,0
10000,selectionSort,100
20000,std::sort,2
20000,mergeSort,2
20000,quickSort,2
20000,selectionSort,391
30000,std::sort,3
30000,mergeSort,3
30000,quickSort,3
30000,selectionSort,965
40000,std::sort,4
40000,mergeSort,5
40000,quickSort,4
40000,selectionSort,1664
50000,std::sort,7
50000,mergeSort,6
50000,quickSort,6
50000,selectionSort,2557
60000,std::sort,7
60000,mergeSort,9
60000,quickSort,6
60000,selectionSort,3537
70000,std::sort,8
70000,mergeSort,9
70000,quickSort,8
70000,selectionSort,4760
80000,std::sort,10
80000,mergeSort,10
80000,quickSort,9
80000,selectionSort,6305
90000,std::sort,11
90000,mergeSort,12
90000,quickSort,12
90000,selectionSort,8193
100000,std::sort,13
100000,mergeSort,15
100000,quickSort,12
100000,selectionSort,9910
